bin,promised,realized,true_cut,t,setting,seed,p,K
3,0.326772,0.289818,0.309425,1,baseline,2,0.5,5
4,0.385147,0.307417,0.335537,1,baseline,2,0.5,5
0,0.12596,0.127064,0.13515,10,baseline,2,0.5,5
1,0.220821,0.192087,0.211166,10,baseline,2,0.5,5
2,0.279094,0.232936,0.264856,10,baseline,2,0.5,5
3,0.326772,0.241421,0.309425,10,baseline,2,0.5,5
4,0.385147,0.247333,0.335537,10,baseline,2,0.5,5
0,0.127596,0.11684,0.134309,1,baseline,2,1,1
1,0.22374,0.208731,0.214436,1,baseline,2,1,1
2,0.282099,0.265101,0.269082,1,baseline,2,1,1
3,0.327084,0.291728,0.313631,1,baseline,2,1,1
4,0.38538,0.307019,0.333251,1,baseline,2,1,1
0,0.127596,0.100788,0.134309,10,baseline,2,1,1
1,0.22374,0.205419,0.214436,10,baseline,2,1,1
2,0.282099,0.287759,0.269082,10,baseline,2,1,1
3,0.327084,0.331674,0.313631,10,baseline,2,1,1
4,0.38538,0.347529,0.333251,10,baseline,2,1,1
0,0.127596,0.11684,0.134309,1,baseline,2,1,3
1,0.22374,0.208731,0.214436,1,baseline,2,1,3
2,0.282099,0.265101,0.269082,1,baseline,2,1,3
3,0.327084,0.291728,0.313631,1,baseline,2,1,3
4,0.38538,0.307019,0.333251,1,baseline,2,1,3
0,0.127596,0.117501,0.134309,10,baseline,2,1,3
1,0.22374,0.220729,0.214436,10,baseline,2,1,3
2,0.282099,0.2969,0.269082,10,baseline,2,1,3
3,0.327084,0.335726,0.313631,10,baseline,2,1,3
4,0.38538,0.34913,0.333251,10,baseline,2,1,3
0,0.127596,0.11684,0.134309,1,baseline,2,1,5
1,0.22374,0.208731,0.214436,1,baseline,2,1,5
2,0.282099,0.265101,0.269082,1,baseline,2,1,5
3,0.327084,0.291728,0.313631,1,baseline,2,1,5
4,0.38538,0.307019,0.333251,1,baseline,2,1,5
0,0.127596,0.134833,0.134309,10,baseline,2,1,5
1,0.22374,0.236439,0.214436,10,baseline,2,1,5
2,0.282099,0.304636,0.269082,10,baseline,2,1,5
3,0.327084,0.335957,0.313631,10,baseline,2,1,5
4,0.38538,0.344571,0.333251,10,baseline,2,1,5
0,0.121351,0.100935,0.140599,1,baseline,3,0.1,1
1,0.214379,0.193485,0.202055,1,baseline,3,0.1,1
2,0.266063,0.23958,0.261304,1,baseline,3,0.1,1
3,0.30747,0.268415,0.311919,1,baseline,3,0.1,1
4,0.354872,0.288715,0.343914,1,baseline,3,0.1,1
0,0.121351,0.135722,0.140599,10,baseline,3,0.1,1
1,0.214379,0.213295,0.202055,10,baseline,3,0.1,1
2,0.266063,0.264211,0.261304,10,baseline,3,0.1,1
3,0.30747,0.288632,0.311919,10,baseline,3,0.1,1
4,0.354872,0.302664,0.343914,10,baseline,3,0.1,1
0,0.121351,0.100935,0.140599,1,baseline,3,0.1,3
1,0.214379,0.193485,0.202055,1,baseline,3,0.1,3
2,0.266063,0.23958,0.261304,1,baseline,3,0.1,3
3,0.30747,0.268415,0.311919,1,baseline,3,0.1,3
4,0.354872,0.288715,0.343914,1,baseline,3,0.1,3
0,0.121351,0.1374,0.140599,10,baseline,3,0.1,3
1,0.214379,0.214853,0.202055,10,baseline,3,0.1,3
2,0.266063,0.264585,0.261304,10,baseline,3,0.1,3
3,0.30747,0.287494,0.311919,10,baseline,3,0.1,3
4,0.354872,0.298606,0.343914,10,baseline,3,0.1,3
0,0.121351,0.100935,0.140599,1,baseline,3,0.1,5
1,0.214379,0.193485,0.202055,1,baseline,3,0.1,5
2,0.266063,0.23958,0.261304,1,baseline,3,0.1,5
3,0.30747,0.268415,0.311919,1,baseline,3,0.1,5
4,0.354872,0.288715,0.343914,1,baseline,3,0.1,5
